project;filename;mutants;killed;survived;mutation score
binarySearchTree1;binarySearchTree1.py;72;55;17;76.39
binarySearchTree2;binarySearchTree2.py;99;54;45;54.55
binarySearchTree3;binarySearchTree3.py;179;105;74;58.66
binarySearchTree4;binarySearchTree4.py;17;15;2;88.24
identifier1;identifier1.py;61;41;20;67.21
linkedList1;linkedList1.py;95;66;29;69.47
linkedList2;linkedList2.py;44;35;9;79.55
linkedList3;linkedList3.py;50;26;24;52.00
linkedList4;linkedList4.py;46;31;15;67.39
linkedList5;linkedList5.py;54;36;18;66.67
queue1;queue1.py;27;20;7;74.07
queue2;queue2.py;73;57;16;78.08
queue3;queue3.py;95;73;22;76.84
queue4;queue4.py;74;51;23;68.92
queue5;queue5.py;20;17;3;85.00
sort1;sort1.py;61;33;28;54.10
stack1;stack1.py;68;40;28;58.82
stack2;stack2.py;6;5;1;83.33
stack3;stack3.py;57;34;23;59.65
stack4;stack4.py;47;28;19;59.57
stack5;stack5.py;9;5;4;55.56
