project;filename;mutants;killed_output;killed_timeout;total_killed;survived;mutation score
binarySearchTree1;binarySearchTree1.py;211;139;0;139;72;65.88
binarySearchTree2;binarySearchTree2.py;214;146;0;146;68;68.22
binarySearchTree3;binarySearchTree3.py;291;185;0;185;106;63.57
binarySearchTree4;binarySearchTree4.py;18;18;0;18;0;100.00
identifier1;identifier1.py;140;62;1;63;77;45.00
linkedList1;linkedList1.py;146;100;0;100;46;68.49
linkedList2;linkedList2.py;44;38;0;38;6;86.36
linkedList3;linkedList3.py;54;32;6;38;16;70.37
linkedList4;linkedList4.py;72;63;0;63;9;87.50
linkedList5;linkedList5.py;74;69;0;69;5;93.24
queue1;queue1.py;14;14;0;14;0;100.00
queue2;queue2.py;62;44;0;44;18;70.97
queue3;queue3.py;91;71;0;71;20;78.02
queue4;queue4.py;112;84;0;84;28;75.00
queue5;queue5.py;16;13;0;13;3;81.25
sort1;sort1.py;185;44;9;53;132;28.65
stack1;stack1.py;114;40;0;40;74;35.09
stack2;stack2.py;19;18;0;18;1;94.74
stack3;stack3.py;70;36;8;44;26;62.86
stack4;stack4.py;72;53;0;53;19;73.61
stack5;stack5.py;5;4;0;4;1;80.00
