project;filename;mutants;killed;survived;mutation score
binarySearchTree1;binarySearchTree1.py;72;49;23;68.06
binarySearchTree2;binarySearchTree2.py;99;51;48;51.52
binarySearchTree3;binarySearchTree3.py;179;100;79;55.87
binarySearchTree4;binarySearchTree4.py;17;15;2;88.24
identifier1;identifier1.py;61;37;24;60.66
linkedList1;linkedList1.py;95;66;29;69.47
linkedList2;linkedList2.py;44;34;10;77.27
linkedList3;linkedList3.py;50;20;30;40.00
linkedList4;linkedList4.py;46;27;19;58.70
linkedList5;linkedList5.py;54;44;10;81.48
queue1;queue1.py;27;19;8;70.37
queue2;queue2.py;73;56;17;76.71
queue3;queue3.py;95;60;35;63.16
queue4;queue4.py;74;47;27;63.51
queue5;queue5.py;20;17;3;85.00
sort1;sort1.py;61;28;33;45.90
stack1;stack1.py;68;36;32;52.94
stack2;stack2.py;6;5;1;83.33
stack3;stack3.py;57;26;31;45.61
stack4;stack4.py;47;28;19;59.57
stack5;stack5.py;9;2;7;22.22
